name,length
귀하가 현저하게 높은 목표를 설정하고 이를 성공적으로 완수하여 본인 만족 또는 주변의 인정을 얻었던 사례를 작성해 주십시오. 2000Bytes이내,81
귀하의 상황판단(또는 의사결정)으로 인해 본인 또는 주변에 긍정적(또는 부정적) 결과를 초래한 경험 사례를 적어 주십시오. 2000Bytes이내,80
"귀하가 남다른 생각이나 발상을 통해 긍정적 결과를 만들어냈던 경험, 또는 조직이나 주변의 무엇인가를 개선했던 실천 사례를 적어주십시오. 2000Bytes 이내",88
성실하다는 점을 객관적으로 인정할 수 있는 사례나 증거를 적어주십시오. 2000Bytes이내,51
당신을 있는 그대로 알고 싶습니다. 본인의 PR을 부탁 드립니다. (500자),43
"인생에서 가장 중요하다고 생각하는 것이 있다면 무엇인가요? 간략한 이유도 작성해주세요. (최대 3가지, 예-가족, 성공, 성실, 신뢰 등) (500자)",84
"지금까지 가장 간절히 원했던 것은 무엇이며, 그것을 이루었다면 어떻게 이루었는지, 실패했다면 왜 실패 했는지 작성해 주세요. (500자)",76
가장 힘들었던 순간과 이를 극복하기 위해 본인이 기울였던 노력은? (500자),43
"평상시 관심 있는 분야 및 취미, 특기는 무엇이며 현재의 수준이 되기까지 해왔던 노력은 무엇인가요? (500자)",62
직장생활을 통해 이루고 싶은 꿈은 무엇인가요? (500자),32
내가 잘할수 있는 것/좋아하는 것,18
나의 장단점 3가지와 단점보완으로 노력한 것,24
장점,2
단점,2
나의 최대 실패 사례와 이를 통해 내 삶이 변화 된 것,30
내가 타인의 삶에 영향을 주게 된 경험,21
생활신조,4
학교생활/사회봉사활동/연수여행경험,18
지원동기,4
경력사항,4
기타 (자유로운 의견 기술),15
선배 및 멘토로부터 많은 정보를 얻어내어 더 좋은 방향을 생각하는 기초를 마련하자.,46
신입사원교육을 성공적으로 마친 후 전문가가 되어 안정적인 크라운제과에 기여한다.,44
저는 야간에 회사출근하고 휴일에 출근하는 것은 별로 바람직하지 않다고 생각하는 사람입니다.,50
조인 인재상 중 본인과 잘 부합하는 것을 한가지 선택한 후 본인소개,37
내 인생의 책,7
조인이 내 목표와 비전에 어떤 영향을 줄 수 있나,27
고정관념 탈피사례,9
목표달성 경험,7
자신을 대표하는 슬로건과 함께 본인에 대해서 서술하시오,30
타인과 차별화 될수 있는 자신만의 장점 및 역량은 무엇인지 서술하시오.,39
포부,2
공동의 이익을 위하여 나에게 예상되는 손해를 감수하고 일을 수행한 경험과 그에 따른 결과 및 느낌을 기술하여 주십시오.,66
KEPCO에 지원하기 위하여 귀하께서 특별히 준비한 것이 있다면 구체적으로 소개해주십시오.,50
성장과정,4
성격 및 장단점,8
관심분야 및 희망업무,11
특기 및 경력사항,9
우수한 성과,6
가치관,3
본인 성격의 장단점을 서술하여 주십시오.(200자),28
사회활동,4
본인이 해당직무를 지원하게 된 이유는 무엇이며 직무를 잘 수행하기 위해 어떻게 준비해 왔는지 경험 전공 등을 연계하여 서술하여 주십시오.(400자),82
도전,2
자신의 경험 중 가장 힘들었던 일은 무엇이며 그 일을 극복하기 위해 어떤 노력을 다하였는지 서술하여 주십시오.(500자),67
성격의 장단점 및 특기사항(600자),20
자신의 대학 생활 중 가장 뛰어난 성과를 이뤄냈던 경험을 구체적으로 적어주세요.,44
지원한 직무를 잘 수행할 수 있다고 생각하는 이유를 보유한 전문 지식 및 스킬과 관련하여 기술하여 주십시요. (700자 내외 ),71
"원칙과 기준을 지키는 인사담당자가 되겠습니다. 공정함을 갖춘 정확한 원칙을 세우고, 그것을 예외 없이 지키도록 하겠습니다.",68
삼립식품의 해외진출에 발맞춰 글로벌HR의 전문가로 발돋움하겠습니다.,37
역량 / 어떻게 적용,11
"귀하가 한전에 입사하기 위해서는 어떤 직무능력이 필요하다고 생각하십니까? 그리고 그 직무능력을 갖추기 위해 어떤 노력 및 자기계발을 했는지 기술하세요. 만약, 관련 능력을 발휘했던 경험이 있다면 함께 기술하세요. (992/1000)",129
"고객의 요구사항이 귀하 생각에도 매우 합리적이나 한전의 내부 규정(매뉴얼) 등과 다른 경우, 어떻게 업무처리 하겠으며, 이 경우 고객 불만해소 및 서비스 향상을 위한 아이디어를 기술하세요. (959/1000)",116
성격의 장·단점 및 보완노력에 대하여.,21
정직함에 대하여. (경험이 있다면 그 상황에서의 본인의 입장 및 대처 사례,41
평가역량 = 자기개발 ( 한글 1500자 이내 ),27
자기소개,4
지원하게 된 동기,9
향후 계획,5
나의 소통 능력,8
살면서 경험했던 가장 극한(최악의) 상황은?,24
"회사에서 묻지도 따지지도 않고 '석 달' 이라는 시간과 그에 필요한 비용을 지원해준다면, 당신은 무엇을 하고 싶습니까?",66
당신에게 KBS는?,10
"한샘 ik유통관리직에 지원한 이유와, 지원직무를 잘 수행할 수 있는 자신만의 강점을 기술해주세요. (500자 내외)",64
조직 내에서 탁월한 성과를 달성하기 위해 열정을 쏟았던 경험에 대해 기술해주세요. (500자 내외),55
"본인이 참여한 다양한 조직(학교, 동아리, 직장 등)중에서 기억에 남는 경험을 선택하고 그 조직 내에서 본인의 역할은 무엇이었으며, 조직을 위해 본인이 기여한 바는 무엇입니까?",98
대학생활 중 가장 주목할 만한 성과 세가지를 구체적으로 작성해 주십시오.,40
"한솔교육에 입사 후, 어떤 일을 하고 싶으며, 이를 위해 지속적으로 시간과 자원을 꾸준히 투자하여 자기계발을 한 경험을 기술하여주십시오.",76
"본인의 장/단점과 입사 후 장점은 어떻게 활용되고, 단점은 어떻게 보완 할 수 있겠는지를 기술하세요.(50자 이상 400자 이내)",72
자신의 성격 및 남다른 지식이나 재능에 대하여 기술하여 주십시오.,36
인생에서 성공했던 경험과 실패했던 경험을 기술하여 주십시오.,33
자기성격의 장점과 단점(500자 이내),21
새마을금고를 선택한 동기 또는 입사 후 마음가짐과 태도(500자 이내),39
성격의 장․단점 및 생활신조,15
성격의 장단점,7
"어떤 문제나 과제에 대해 기존의 방법과 다른 창의적인 방법으로 해결했던 경험이 있으면, 구체적으로 작성해 주십시오",63
다른 사람들과 팀윅/협력/존중을 바탕으로 좋은 결과를 얻을 수 있었던 경험에 대해 구체적으로 작성하여 주십시오,61
성격의 장단점 및 생활신조 [600자 이내],24
학교생활/사회봉사활동/연수여행경험 [600자 이내],28
"전공학습이나 소위 스펙쌓기와 무관한 일 중, 가장 흥미 있게 한 활동은 무엇이었는지와, 그 이유를 구체적으로 서술하세요",66
"실패 혹은 위기를 극복한 경험을 기술하고 이를 통해 배운 점이 무엇인지, 또 이런 경험을 인생에서 어떻게 활용할 수 있을지 서술하세요.",75
입사 후 하고 싶은 일,12
본인의 능력,6
가장 기억에 남는 경험,12
성격의 장점,6
소통능력 : 소통을 통한 이끔,16
끈기 : 버티는 자가 이기는 것이다.,20
고객 서비스 정신 : 고객은 가족,18
정직과 자신감 : 자신감은 정직함에서 나온다.,25
본인의 강점 및 관심분야 (1000자),21
소속조직 혹은 팀활동에 기여했던 경험 (1000자),28
본인의 삶에 있어 소중하게 생각하는 것(들)과 그 이유 (1000자),38
성격의 장•단점 및 보완노력에 대하여.,21
정직함에 대하여. (경험이 있다면 그 상황에서의 본인의 입장 및 대처 사례),42
성격의 장단점 및 특기사항,14
"자신에게 주어졌던 일 중 가장 어려웠던 경험은 무엇이었습니까? 그 일을 하게 된 이유와 그때 느꼈던 감정, 진행하면서 가장 어려웠던 점과 그것을 극복하기 위해 했던 행동과 생각, 결과에 대해 최대한 구체적으로 작성해 주십시오. (1000 자 10 단락 이내)",144
"이제까지 가장 강하게 소속감을 느꼈던 조직은 무엇이었으며, 그 조직의 발전을 위해 헌신적으로 노력했던 것 중 가장 기억에 남는 경험은 무엇입니까? 개인적으로 더 많은 노력을 기울였던 일과 그 때 했던 행동과 생각, 결과에 대해 최대한 구체적으로 작성해 주십시오. (1000 자 10 단락 이내)",164
"자신에게 요구된 것보다 더 높은 목표를 스스로 세워 시도했던 경험 중 가장 기억에 남는 것은 무엇입니까? 목표 달성 과정에서 아쉬웠던 점이나 그 때 느꼈던 자신의 한계는 무엇이고, 이를 극복하기 위해 했던 행동과 생각, 결과에 대해 최대한 구체적으로 작성해 주십시오. (1000 자 10 단락 이내)",167
"기존과는 다른 방식을 시도하여 이전에 비해 조금이라도 개선했던 경험 중, 가장 효과적이었던 것은 무엇입니까? 그 방식을 시도했던 이유, 기존 방식과의 차이점, 진행 과정에서 했던 행동과 생각, 결과에 대해 최대한 구체적으로 작성해 주십시오. (1000 자 10 단락 이내)",152
"SK 입사 후 어떤 일을 하고 싶으며, 이를 위해 본인이 무엇을 어떻게 준비해 왔는지 구체적으로 기술하십시오. (1000 자 10 단락 이내)",79
성격소개,4
정직함에 대하여. (경험이 있다면 그 상황에서의 본인의 입장 및 대처 사례)byte | 800 byte,57
"귀하가 회사를 선택하는 기준은 무엇이며 왜 당사가 그 기준에 적합한지를 작성하고, 당사에 입사하여 이루고 싶은 목표(직무 관련)에 대해 작성해주세요.(700자 이내)",92
"대학생활 중 가장 뛰어난 성과를 거두었던 경험이 무엇이었으며, 그 과정에서 어떠한 노력을 하였고 무엇을 배웠는지 작성해주세요.(500자 이내)",79
"살면서 가장 어려웠던 경험은 무엇이었으며, 그것을 극복하기 위해서 어떠한 노력을 하였고 결과가 어떠하였는지 작성해주세요.(500자 이내)",76
"타인과의 협업 과정에서 나타나는 본인의 장점 및 단점, 단점을 극복하기 위한 노력 등을 사례를 통해 구체적으로 작성해주세요.(700자 이내)",78
"소위 말하는 스펙(학교, 학점, 전공, 어학점수 등)을 제외하고 S-OIL이 귀하를 채용하기 위하여 반드시 알아야 할 것이 있다면 무엇이고 그 이유에 대하여 작성해주세요.(700자 이내)",104
"입사~2년 : 신입사원으로서 조직에 융화되기 위해 최선을 다할 것이며, 선배들로부터 업무에 대한 KNOW-HOW를 빠르게 습득하겠습니다.",76
입사~8년 : 엔지니어로서 유지보수 및 환경 측면까지 생각한 최적 설계 프로세스를 정착시키겠습니다.,55
입사~10년 : 개발한 설계 프로세스를 기반으로 설계 효율을 향상하고 최고 품질의 선박 및 플랜트를 생산하여 현대삼호중공업의 경쟁력을 NO.1로 만들겠습니다.,88
성격 장단점,6
정직함에 대해서,8
"가장 심혈을 기울여 목표를 성취한 경험이 있다면 구체적인 동기, 행동, 결과 등을 기술하여 주십시오.",56
KEPCO에 지원하기 위하여 귀하께서 특별하게 준비하신 것이 있다면 구체적으로 소개하여 주십시오.,54
대학에서 습득한 전공 또는 기타지식을 연계활용하여 최근 한전이 직면하고 있는 현안과 문제를 개선 또는 해결할 수 있는 방안을 기술하여 주십시오.,80
장ㆍ단점,4
본인 성격의 장점 및 단점을 기술하고 영업관리 직무를 잘 수행할 수 있는 까닭을 설명하시오.,51
본인의 인생에서 가장 힘들거나 어려웠을 때를 기술하고，이를 어떻게 극복했는지 서술하시오.,49
(주)코리아세븐이 본인을 채용 해야 하는 이유를 3가지로 설명하시오.,38
KOGAS에 지원하게 된 동기 및 KOGAS의 일원으로서 이루고 싶은 목표를 기술하여 주십시오.,53
아래 KOGAS 인재상 중 택1하여 그에 부합하는 자신의 경험(행동)을 자유롭게 기술하여 주시기 바랍니다.,59
"KOGAS가 본인을 채용해야 하는 이유와 관련하여, 자신을 표현할 수 있는 문구 또는 단어를 자유롭게 기술하고 그 이유를",67
성장배경,4
"타인과 함께 협동하여 문제를 해결한 경험과 그 과정에서 본인의 역할, 갈등, 극복을 위한 노력 등을 기술하시오.",62
타인과 차별화 할 수 있는 경쟁력을 자신의 경험을 바탕으로 기술하시오.,39
"입사지원을 하게 된 동기와, 자신이 지원한 직무에 적합하다고 생각하는 구체적인 이유를 기술하시오.",54
"자신이 수강한 전공과목 중 가장 자신 있는 전공 3가지에 대해, 각각의 이유와 학점을 명시해 주세요. (0 / 3100)",67
사용해 본 프로그래밍 언어와 해당 언어를 사용하여 개발해 본 프로젝트 혹은 개발 산출물을 설명해주세요. [프로젝트명(사용언어) - 한줄개요] 형식으로 작성해주세요. (0 / 3100),102
현재까지 달성한 업적과 장점 등 구체적 서술(5000자),31
성격 및 생활신조(490 byte / 500 byte),30
전공 및 경력사항 (480 byte / 500 byte),31
풀무원과 해당직무를 지원한 이유(동기)는?,23
