company_name,industry_type
기아자동차,"승용차 및 기타 여객용 자동차 제조업,자동차 신품 판매업,자동차 전문 수리업,자동차 수리 및 세차업,자동차 종합 수리업"
에이스원격평생교육원,
대림산업,"지주회사,그 외 자동차용 신품 부품 제조업,합성수지 및 기타 플라스틱 물질 제조업,용달 화물자동차 운송업,"
Financial Company,
SH공사,"기타 부동산 개발 및 공급업,내부 통신배선 공사업,내부 전기배선 공사업,건축·설비·환경,전기용 기계.장비 및 관련 기자재 도매업"
KG이니시스,응용 소프트웨어 개발 및 공급업
태진에프티,그 외 기타 기계 및 장비 도매업
IBK기업은행,"국내은행,은행·금융,노동조합"
롯데백화점,"백화점,백화점·유통·도소매,,음식료·외식·프랜차이즈"
에이브랜드,
천재교육,"교과서 및 학습서적 출판업,학원·어학원·교육원,서적, 잡지 및 기타 인쇄물 도매업,유아·유치원·어린이집,,백화점·유통·도소매,출판·인쇄·사진,생활용 포장ㆍ위생용품, 문구용품 및 출판 인쇄물 도매업"
CJ제일제당,"설탕 제조업,제약·보건·바이오,,기타 가공식품 도매업,조리 반찬류 소매업,백화점·유통·도소매,빵류, 과자류, 당류, 초콜릿 도매업"
일진그룹,"전기·전자·제어,지주회사"
파리바게트,"제과점업,기타 간이 음식점업,음식료·외식·프랜차이즈,"
유창건설,"건설용 석재 채굴 및 쇄석 생산업,단독 주택 건설업,콘크리트 및 철근 공사업,건설·시공·토목·조경,그 외 기타 달리 분류되지 않은 제품 제조업,건설ㆍ광업용 기계 및 장비 도매업,토공사업"
크라운제과,"과자류 및 코코아 제품 제조업,백화점·유통·도소매,생활용품·소비재·기타,식품가공"
조인,"식품가공,자동차·조선·철강·항공,상품 종합 도매업,금속·재료·자재,그 외 기타 전자부품 제조업,IT컨설팅,응용 소프트웨어 개발 및 공급업,,건설·시공·토목·조경,기타 1차 비철금속 제조업"
삼천리카보텍,
서울사이버대학교,"학교(초·중·고·대학·특수),학원·어학원·교육원,공기업·공공기관"
오비맥주,"맥아 및 맥주 제조업,"
광전자,"전기·전자·제어,그 외 기타 전자부품 제조업,자동차용 신품 전기장치 제조업,내부 통신배선 공사업,물질 검사, 측정 및 분석기구 제조업,전문가 단체,반도체·디스플레이·광학,시스템 소프트웨어 개발 및 공급업,기타 반도체소자 제조업"
